Program: 170002815 & 170001567 - CS5052 P1
Command: p1.py -f movies -b watches -c 50 -o examples/part_1/movies-highest-watch-count.txt
Data directory: data/ml-latest/
Date: 2021.04.03 15:28

+-------+-----------------------------------------------------------------------+----------------------------------------------------------+----+-------+------------------+
|movieId|title                                                                  |genres                                                    |year|ratings|avgRating         |
|32     |Twelve Monkeys (a.k.a. 12 Monkeys)                                     |[Mystery, Sci-Fi, Thriller]                               |1995|54846  |3.8901925391095067|
|608    |Fargo                                                                  |[Comedy, Crime, Drama, Thriller]                          |1996|54500  |4.106229357798165 |
|592    |Batman                                                                 |[Action, Crime, Thriller]                                 |1989|54448  |3.386488025271819 |
|2028   |Saving Private Ryan                                                    |[Action, Drama, War]                                      |1998|54027  |4.05053029041035  |
|2762   |Sixth Sense, The                                                       |[Drama, Horror, Mystery]                                  |1999|52270  |4.015812129328487 |
|590    |Dances with Wolves                                                     |[Adventure, Drama, Western]                               |1990|51877  |3.740337721919155 |
|588    |Aladdin                                                                |[Adventure, Animation, Children, Comedy, Musical]         |1992|51827  |3.6917533332047   |
|380    |True Lies                                                              |[Action, Adventure, Comedy, Romance, Thriller]            |1994|50864  |3.501710443535703 |
|3578   |Gladiator                                                              |[Action, Adventure, Drama]                                |2000|48666  |3.9563350182879216|
|364    |Lion King, The                                                         |[Adventure, Animation, Children, Drama, Musical, IMAX]    |1994|47305  |3.811425853503858 |
|4306   |Shrek                                                                  |[Adventure, Animation, Children, Comedy, Fantasy, Romance]|2001|46826  |3.7718788707128517|
|377    |Speed                                                                  |[Action, Romance, Thriller]                               |1994|46475  |3.4866057019903174|
|344    |Ace Ventura: Pet Detective                                             |[Comedy]                                                  |1994|45608  |2.989431678652868 |
|648    |Mission: Impossible                                                    |[Action, Adventure, Mystery, Thriller]                    |1996|45064  |3.40252751642109  |
|1721   |Titanic                                                                |[Drama, Romance]                                          |1997|44787  |3.4057092459865586|
|58559  |Dark Knight, The                                                       |[Action, Crime, Drama, IMAX]                              |2008|44741  |4.173755615654545 |
|1580   |Men in Black (a.k.a. MIB)                                              |[Action, Comedy, Sci-Fi]                                  |1997|44287  |3.578533203874726 |
|4226   |Memento                                                                |[Mystery, Thriller]                                       |2000|43739  |4.153844395162213 |
|1197   |Princess Bride, The                                                    |[Action, Adventure, Comedy, Fantasy, Romance]             |1987|42878  |4.124807593637763 |
|1704   |Good Will Hunting                                                      |[Drama, Romance]                                          |1997|42769  |4.076387102808109 |
|595    |Beauty and the Beast                                                   |[Animation, Children, Fantasy, Musical, Romance, IMAX]    |1991|42400  |3.679634433962264 |
|1240   |Terminator, The                                                        |[Action, Sci-Fi, Thriller]                                |1984|42254  |3.891844559094997 |
|1193   |One Flew Over the Cuckoo's Nest                                        |[Drama]                                                   |1975|42181  |4.222920272160452 |
|1291   |Indiana Jones and the Last Crusade                                     |[Action, Adventure]                                       |1989|42043  |3.9796636776633445|
+-------+-----------------------------------------------------------------------+----------------------------------------------------------+----+-------+------------------+
only showing top 50 rows

